task_id,group,convention,refactor,warning,error,score,total_messages,cyclomatic_complexity,maintainability_index,loc,sloc,lloc
HumanEval/0,human,2,0,0,0,7.78,2,5,95.61,19,9,10
HumanEval/0,claude,3,0,0,0,5.71,3,4,95.21,16,7,8
HumanEval/4,human,2,0,0,0,5.0,2,2,80.59,14,4,5
HumanEval/4,claude,2,0,0,0,5.0,2,2,80.59,14,4,5
HumanEval/8,human,3,0,0,0,6.25,3,2,98.19,18,8,9
HumanEval/8,claude,3,0,0,0,6.25,3,2,98.19,17,8,9
HumanEval/12,human,2,1,0,0,6.25,3,5,96.7,20,8,9
HumanEval/12,claude,2,0,0,0,7.78,2,4,97.32,20,9,10
HumanEval/16,human,3,0,0,0,0.0,3,1,100.0,10,2,3
HumanEval/16,claude,3,0,0,0,0.0,3,1,100.0,10,2,3
HumanEval/20,human,3,0,0,0,8.0,3,6,89.0,27,16,17
HumanEval/20,claude,3,0,0,0,7.27,3,3,92.52,20,11,12
HumanEval/24,human,2,1,0,0,2.5,3,3,100.0,10,4,5
HumanEval/24,claude,2,0,0,0,6.0,2,3,99.9,11,5,6
HumanEval/28,human,2,0,0,0,3.33,2,1,100.0,11,3,4
HumanEval/28,claude,2,0,0,0,3.33,2,1,100.0,11,3,4
HumanEval/32,human,2,1,0,0,7.86,3,4,82.77,34,15,17
HumanEval/32,claude,2,1,0,0,8.12,3,4,82.64,38,17,19
HumanEval/36,human,3,0,0,0,7.0,3,5,91.22,20,10,11
HumanEval/36,claude,3,0,0,0,5.0,3,4,88.08,16,6,7
HumanEval/40,human,3,0,0,0,5.71,3,5,70.78,25,7,8
HumanEval/40,claude,3,0,0,0,5.71,3,5,70.78,25,7,8
HumanEval/44,human,2,0,0,0,6.67,2,2,83.38,18,6,7
HumanEval/44,claude,2,0,0,0,7.5,2,3,89.56,20,8,9
HumanEval/48,human,3,0,0,0,4.0,3,3,74.59,18,5,6
HumanEval/48,claude,2,0,0,0,0.0,2,1,50.35,15,2,4
HumanEval/52,human,2,0,0,0,6.0,2,3,100.0,13,5,6
HumanEval/52,claude,2,0,0,0,0.0,2,2,71.93,10,2,3
HumanEval/56,human,2,0,0,0,7.78,2,4,89.09,24,10,11
HumanEval/56,claude,2,0,0,0,7.78,2,4,89.09,24,10,11
HumanEval/60,human,2,0,0,0,0.0,2,1,57.38,16,2,3
HumanEval/60,claude,2,0,0,0,0.0,2,1,57.38,16,2,3
HumanEval/64,human,2,0,0,0,7.14,2,4,90.57,22,9,8
HumanEval/64,claude,2,0,0,0,7.5,2,4,95.95,23,10,9
HumanEval/68,human,8,0,0,0,0.0,8,3,38.63,39,5,9
HumanEval/68,claude,3,0,0,0,7.27,3,6,59.34,45,11,12
HumanEval/72,human,3,0,0,0,7.0,3,4,84.52,29,10,11
HumanEval/72,claude,3,0,0,0,2.5,3,2,58.46,22,4,5
HumanEval/76,human,11,0,0,0,0.0,11,3,83.66,19,7,8
HumanEval/76,claude,2,0,0,0,7.78,2,4,88.26,21,9,10
HumanEval/80,human,3,0,3,0,1.43,6,6,79.74,21,7,8
HumanEval/80,claude,2,0,0,0,7.14,2,4,83.69,19,7,8
